DATE,RCMFLBACTDPDPCT90P
2012-07-01,9.15
2012-10-01,9.0
2013-01-01,7.83
2013-04-01,7.31
2013-07-01,6.93
2013-10-01,6.13
2014-01-01,5.78
2014-04-01,5.37
2014-07-01,4.98
2014-10-01,4.66
2015-01-01,4.21
2015-04-01,3.83
2015-07-01,3.64
2015-10-01,3.47
2016-01-01,3.25
2016-04-01,2.99
2016-07-01,2.8
2016-10-01,2.81
2017-01-01,2.64
2017-04-01,2.5
2017-07-01,2.3
2017-10-01,2.39
2018-01-01,2.14
2018-04-01,1.88
2018-07-01,1.74
2018-10-01,1.66
2019-01-01,1.54
2019-04-01,1.39
2019-07-01,1.37
2019-10-01,1.35
2020-01-01,1.22
2020-04-01,2.47
2020-07-01,3.2
2020-10-01,3.3
2021-01-01,3.22
2021-04-01,2.65
2021-07-01,2.22
2021-10-01,1.85
2022-01-01,1.62
2022-04-01,1.38
2022-07-01,1.37
2022-10-01,1.26
2023-01-01,1.16
2023-04-01,1.16
2023-07-01,1.08
2023-10-01,0.99
2024-01-01,0.96
2024-04-01,0.93
